name,item_class,guide_item_type,drop_pool,is_breach_unique,base_item,tier,tier_raw,required_level,required_strength,required_dexterity,required_intelligence,attribute_requirements,has_foulborn_variant,wiki_page
Twyzel,Wand,Wands,core,no,Blasting Wand,5,5 d,40,,,131,Int 131,no,https://www.poewiki.net/wiki/Twyzel
Unlight Extant,Wand,Wands,core,no,Sage Wand,4,4,30,,,119,Int 119,no,https://www.poewiki.net/wiki/Unlight_Extant
Void Battery,Wand,Wands,core,no,Prophecy Wand,2,2 d,68,,,245,Int 245,yes,https://www.poewiki.net/wiki/Void_Battery
Chin Sol,Bow,Bows,core,no,Assassin Bow,5,5 d,62,,212,,Dex 212,yes,https://www.poewiki.net/wiki/Chin_Sol
Darkscorn,Bow,Bows,core,no,Assassin Bow,2,2 d,62,,212,,Dex 212,yes,https://www.poewiki.net/wiki/Darkscorn
Death's Harp,Bow,Bows,core,no,Death Bow,3,3 d,32,,107,,Dex 107,yes,https://www.poewiki.net/wiki/Death's_Harp
Doomfletch,Bow,Bows,core,no,Royal Bow,3,3 d,28,,95,,Dex 95,yes,https://www.poewiki.net/wiki/Doomfletch
Infractem,Bow,Bows,core,no,Decimation Bow,5,5 d,53,,170,,Dex 170,no,https://www.poewiki.net/wiki/Infractem
Iron Commander,Bow,Bows,core,no,Death Bow,4,4 d,32,,107,,Dex 107,no,https://www.poewiki.net/wiki/Iron_Commander
Lioneye's Glare,Bow,Bows,core,no,Imperial Bow,0,0 d,66,,212,,Dex 212,no,https://www.poewiki.net/wiki/Lioneye's_Glare
Null's Inclination,Bow,Bows,core,no,Ranger Bow,3,3 d,60,,212,,Dex 212,yes,https://www.poewiki.net/wiki/Null's_Inclination
Nuro's Harp,Bow,Bows,core,no,Harbinger Bow,5,5 d,68,,212,,Dex 212,no,https://www.poewiki.net/wiki/Nuro's_Harp
Quill Rain,Bow,Bows,core,no,Short Bow,4,4 d,5,,26,,Dex 26,yes,https://www.poewiki.net/wiki/Quill_Rain
Reach of the Council,Bow,Bows,core,no,Spine Bow,3,3 d,64,,212,,Dex 212,no,https://www.poewiki.net/wiki/Reach_of_the_Council
Roth's Reach,Bow,Bows,core,no,Recurve Bow,5,5 d,18,,65,,Dex 65,no,https://www.poewiki.net/wiki/Roth's_Reach
Silverbranch,Bow,Bows,core,no,Crude Bow,5,5 d,1,,14,,Dex 14,no,https://www.poewiki.net/wiki/Silverbranch
Slivertongue,Bow,Bows,core,no,Harbinger Bow,4,4 d,68,,212,,Dex 212,no,https://www.poewiki.net/wiki/Slivertongue
Storm Cloud,Bow,Bows,core,no,Long Bow,5,5 d,9,,38,,Dex 38,no,https://www.poewiki.net/wiki/Storm_Cloud
Voltaxic Rift,Bow,Bows,core,no,Spine Bow,0,0 d,64,,212,,Dex 212,no,https://www.poewiki.net/wiki/Voltaxic_Rift
Widowhail,Bow,Bows,core,no,Crude Bow,3,3 d,1,,14,,Dex 14,no,https://www.poewiki.net/wiki/Widowhail
Windripper,Bow,Bows,core,no,Imperial Bow,2,2 d,66,,212,,Dex 212,no,https://www.poewiki.net/wiki/Windripper
Azadi Crest,Shield,2x2 Shields,core,no,Lacquered Buckler,4,4,60,,154,,Dex 154,no,https://www.poewiki.net/wiki/Azadi_Crest
Chalice of Horrors,Shield,2x2 Shields,core,no,War Buckler,4,4 d,29,,74,,Dex 74,yes,https://www.poewiki.net/wiki/Chalice_of_Horrors
Crest of Perandus,Shield,2x2 Shields,core,no,Pine Buckler,5,5 d,8,,26,,Dex 26,no,https://www.poewiki.net/wiki/Crest_of_Perandus
Great Old One's Ward,Shield,2x2 Shields,core,no,Corrugated Buckler,4,4 d,46,,112,,Dex 112,yes,https://www.poewiki.net/wiki/Great_Old_One's_Ward
Jaws of Agony,Shield,2x2 Shields,core,no,Supreme Spiked Shield,5,5 d,70,,85,85,"Dex 85, Int 85",no,https://www.poewiki.net/wiki/Jaws_of_Agony
Kaltenhalt,Shield,2x2 Shields,core,no,Painted Buckler,5,5 d,16,,44,,Dex 44,no,https://www.poewiki.net/wiki/Kaltenhalt
Kiloava's Bluster,Shield,2x2 Shields,core,no,Ironwood Buckler,4,4 d,57,,137,,Dex 137,yes,https://www.poewiki.net/wiki/Kiloava's_Bluster
Kongming's Stratagem,Shield,2x2 Shields,core,no,Ancient Spirit Shield,4,4 d,45,,,110,Int 110,yes,https://www.poewiki.net/wiki/Kongming's_Stratagem
Leper's Alms,Shield,2x2 Shields,core,no,Mirrored Spiked Shield,5,5 d,66,,85,85,"Dex 85, Int 85",no,https://www.poewiki.net/wiki/Leper's_Alms
Light of Lunaris,Shield,2x2 Shields,core,no,Jingling Spirit Shield,1,1 d,28,,,71,Int 71,no,https://www.poewiki.net/wiki/Light_of_Lunaris
Malachai's Loop,Shield,2x2 Shields,core,no,Harmonic Spirit Shield,4,4 d,65,,,159,Int 159,yes,https://www.poewiki.net/wiki/Malachai's_Loop
Maligaro's Lens,Shield,2x2 Shields,core,no,Compound Spiked Shield,5,5 d,45,,59,59,"Dex 59, Int 59",no,https://www.poewiki.net/wiki/Maligaro's_Lens
Manastorm,Shield,2x2 Shields,core,no,Lacewood Spirit Shield,3,3,56,,,134,Int 134,no,https://www.poewiki.net/wiki/Manastorm
Matua Tupuna,Shield,2x2 Shields,core,no,Tarnished Spirit Shield,4,4 d,63,,,60,Int 60,yes,https://www.poewiki.net/wiki/Matua_Tupuna
Mistwall,Shield,2x2 Shields,core,no,Lacquered Buckler,3,3 d,60,,154,,Dex 154,no,https://www.poewiki.net/wiki/Mistwall
Rathpith Globe,Shield,2x2 Shields,core,no,Titanium Spirit Shield,2,2 d,68,,,159,Int 159,yes,https://www.poewiki.net/wiki/Rathpith_Globe
Sentari's Answer,Shield,2x2 Shields,core,no,Brass Spirit Shield,4,4 d,33,,,83,Int 83,no,https://www.poewiki.net/wiki/Sentari's_Answer
The Eternal Apple,Shield,2x2 Shields,core,no,Chiming Spirit Shield,5,5 d,49,,,119,Int 119,no,https://www.poewiki.net/wiki/The_Eternal_Apple
Thousand Teeth Temu,Shield,2x2 Shields,core,no,Vaal Buckler,5,5 d,63,,159,,Dex 159,no,https://www.poewiki.net/wiki/Thousand_Teeth_Temu
Zeel's Amplifier,Shield,2x2 Shields,core,no,Polished Spiked Shield,5,5 d,49,,64,64,"Dex 64, Int 64",no,https://www.poewiki.net/wiki/Zeel's_Amplifier
Aegis Aurora,Shield,3x2 Shields,core,no,Champion Kite Shield,2,2 d,62,85,,85,"Str 85, Int 85",yes,https://www.poewiki.net/wiki/Aegis_Aurora
Daresso's Courage,Shield,3x2 Shields,core,no,Baroque Round Shield,3,3 d,54,70,70,,"Str 70, Dex 70",no,https://www.poewiki.net/wiki/Daresso's_Courage
Emperor's Vigilance,Shield,3x2 Shields,core,no,Steel Kite Shield,2,2 d,46,60,,60,"Str 60, Int 60",yes,https://www.poewiki.net/wiki/Emperor's_Vigilance
Prism Guardian,Shield,3x2 Shields,core,no,Archon Kite Shield,2,2 d,68,85,,85,"Str 85, Int 85",yes,https://www.poewiki.net/wiki/Prism_Guardian
Rise of the Phoenix,Shield,3x2 Shields,core,no,Mosaic Kite Shield,4,4 d,65,85,,85,"Str 85, Int 85",yes,https://www.poewiki.net/wiki/Rise_of_the_Phoenix
Saffell's Frame,Shield,3x2 Shields,core,no,Branded Kite Shield,3,3 d,59,76,,76,"Str 76, Int 76",yes,https://www.poewiki.net/wiki/Saffell's_Frame
Springleaf,Shield,3x2 Shields,core,no,Plank Kite Shield,5,5 d,7,13,,13,"Str 13, Int 13",no,https://www.poewiki.net/wiki/Springleaf
The Deep One's Hide,Shield,3x2 Shields,core,no,Studded Round Shield,5,5 d,20,29,29,,"Str 29, Dex 29",no,https://www.poewiki.net/wiki/The_Deep_One's_Hide
The Flawed Refuge,Shield,3x2 Shields,core,no,Maple Round Shield,,,39,52,52,,"Str 52, Dex 52",no,https://www.poewiki.net/wiki/The_Flawed_Refuge
The Ghastly Theatre,Shield,3x2 Shields,core,no,Teak Round Shield,4,4 d,58,74,74,,"Str 74, Dex 74",no,https://www.poewiki.net/wiki/The_Ghastly_Theatre
The Oppressor,Shield,3x2 Shields,core,no,Elegant Round Shield,5,5 d,70,85,85,,"Str 85, Dex 85",yes,https://www.poewiki.net/wiki/The_Oppressor
The Shattered Divinity,Quiver,3x2 Shields,core,no,Blunt Arrow Quiver,,,60,,,,None,no,https://www.poewiki.net/wiki/The_Shattered_Divinity
The Squire,Shield,3x2 Shields,core,no,Elegant Round Shield,0,0 d,70,85,85,,"Str 85, Dex 85",yes,https://www.poewiki.net/wiki/The_Squire
Victario's Charity,Shield,3x2 Shields,core,no,Laminated Kite Shield,5,5 d,50,65,,65,"Str 65, Int 65",no,https://www.poewiki.net/wiki/Victario's_Charity
Wheel of the Stormsail,Shield,3x2 Shields,core,no,Rotted Round Shield,5,5 d,5,11,11,,"Str 11, Dex 11",no,https://www.poewiki.net/wiki/Wheel_of_the_Stormsail
Ahn's Heritage,Shield,4x2 Shields,core,no,Colossal Tower Shield,4,4 d,67,159,,,Str 159,no,https://www.poewiki.net/wiki/Ahn's_Heritage
Chernobog's Pillar,Shield,4x2 Shields,core,no,Ebony Tower Shield,5,5 d,61,159,,,Str 159,no,https://www.poewiki.net/wiki/Chernobog's_Pillar
Cowards' Wail,Shield,4x2 Shields,core,no,Ezomyte Tower Shield,3,3 u,64,159,,,Str 159,no,https://www.poewiki.net/wiki/Cowards'_Wail
Lioneye's Remorse,Shield,4x2 Shields,core,no,Pinnacle Tower Shield,3,3 d,70,159,,,Str 159,yes,https://www.poewiki.net/wiki/Lioneye's_Remorse
Lycosidae,Shield,4x2 Shields,core,no,Rawhide Tower Shield,3,3 d,11,33,,,Str 33,no,https://www.poewiki.net/wiki/Lycosidae
Titucius' Span,Shield,4x2 Shields,core,no,Reinforced Tower Shield,5,5 d,30,76,,,Str 76,no,https://www.poewiki.net/wiki/Titucius'_Span
Trolltimber Spire,Shield,4x2 Shields,core,no,Cedar Tower Shield,4,4 d,17,47,,,Str 47,no,https://www.poewiki.net/wiki/Trolltimber_Spire
Tukohama's Fortress,Shield,4x2 Shields,core,no,Ebony Tower Shield,1,1 d,61,159,,,Str 159,no,https://www.poewiki.net/wiki/Tukohama's_Fortress
Ahuana's Bite,Quiver,Quivers,core,no,Sharktooth Arrow Quiver,4,4 d,56,,,,None,no,https://www.poewiki.net/wiki/Ahuana's_Bite
Asphyxia's Wrath,Quiver,Quivers,core,no,Feathered Arrow Quiver,5,5 d,20,,,,None,no,https://www.poewiki.net/wiki/Asphyxia's_Wrath
Blackgleam,Quiver,Quivers,core,no,Blazing Arrow Quiver,5,5 d,45,,,,None,no,https://www.poewiki.net/wiki/Blackgleam
Craghead,Quiver,Quivers,core,no,Serrated Arrow Quiver,5,5 d,4,,,,None,no,https://www.poewiki.net/wiki/Craghead
Drillneck,Quiver,Quivers,core,no,Penetrating Arrow Quiver,4,4 d,36,,,,None,yes,https://www.poewiki.net/wiki/Drillneck
Hyrri's Bite,Quiver,Quivers,core,no,Sharktooth Arrow Quiver,5,5 d,14,,,,None,no,https://www.poewiki.net/wiki/Hyrri's_Bite
Maloney's Mechanism,Quiver,Quivers,core,no,Ornate Quiver,2,2 d,45,,,,None,yes,https://www.poewiki.net/wiki/Maloney's_Mechanism
Maloney's Nightfall,Quiver,Quivers,core,no,Vile Arrow Quiver,5,5 d,55,,,,None,no,https://www.poewiki.net/wiki/Maloney's_Nightfall
Rearguard,Quiver,Quivers,core,no,Blunt Arrow Quiver,4,4 d,31,,,,None,yes,https://www.poewiki.net/wiki/Rearguard
Rigwald's Quills,Quiver,Quivers,core,no,Two-Point Arrow Quiver,2,2 d,56,,,,None,yes,https://www.poewiki.net/wiki/Rigwald's_Quills
Saemus' Gift,Quiver,Quivers,core,no,Feathered Arrow Quiver,5,5 d,45,,,,None,no,https://www.poewiki.net/wiki/Saemus'_Gift
Scorpion's Call,Quiver,Quivers,core,no,Heavy Arrow Quiver,4,4 d,61,,,,None,no,https://www.poewiki.net/wiki/Scorpion's_Call
Skirmish,Quiver,Quivers,core,no,Two-Point Arrow Quiver,5,5 d,36,,,,None,no,https://www.poewiki.net/wiki/Skirmish
Soul Strike,Quiver,Quivers,core,no,Spike-Point Arrow Quiver,4,4 d,64,,,,None,yes,https://www.poewiki.net/wiki/Soul_Strike
The Poised Prism,Quiver,Quivers,core,no,Primal Arrow Quiver,4,4 d,66,,,,None,no,https://www.poewiki.net/wiki/The_Poised_Prism
Abyssus,Helmet,Helmets,core,no,Ezomyte Burgonet,3,3 d,60,138,,,Str 138,yes,https://www.poewiki.net/wiki/Abyssus
Ahn's Contempt,Helmet,Helmets,core,no,Praetor Crown,4,4 d,68,62,,91,"Str 62, Int 91",no,https://www.poewiki.net/wiki/Ahn's_Contempt
Akoya's Gaze,Helmet,Helmets,core,no,Regicide Mask,3,2 u -3 d,52,,58,58,"Dex 58, Int 58",no,https://www.poewiki.net/wiki/Akoya's_Gaze
Alpha's Howl,Helmet,Helmets,core,no,Sinner Tricorne,3,3 d,64,,138,,Dex 138,yes,https://www.poewiki.net/wiki/Alpha's_Howl
Ancient Skull,Helmet,Helmets,core,no,Bone Helmet,4,4 d,73,76,,76,"Str 76, Int 76",no,https://www.poewiki.net/wiki/Ancient_Skull
Asenath's Mark,Helmet,Helmets,core,no,Iron Circlet,2,2 d,8,,,23,Int 23,yes,https://www.poewiki.net/wiki/Asenath's_Mark
Assailum,Helmet,Helmets,core,no,Sinner Tricorne,3,3 d,64,,138,,Dex 138,no,https://www.poewiki.net/wiki/Assailum
Black Sun Crest,Helmet,Helmets,core,no,Lacquered Helmet,5,5 d,51,57,57,,"Str 57, Dex 57",no,https://www.poewiki.net/wiki/Black_Sun_Crest
Blood Price,Helmet,Helmets,core,no,Reaver Helmet,3,3 d,40,85,,,Str 85,no,https://www.poewiki.net/wiki/Blood_Price
Chitus' Apex,Helmet,Helmets,core,no,Necromancer Circlet,3,3 d,54,,,112,Int 112,no,https://www.poewiki.net/wiki/Chitus'_Apex
Crown of Eyes,Helmet,Helmets,core,no,Hubris Circlet,3,3 d,69,,,154,Int 154,no,https://www.poewiki.net/wiki/Crown_of_Eyes
Crown of the Pale King,Helmet,Helmets,core,no,Regicide Mask,4,4 d,52,,58,58,"Dex 58, Int 58",yes,https://www.poewiki.net/wiki/Crown_of_the_Pale_King
Crown of Thorns,Helmet,Helmets,core,no,Vine Circlet,5,5 d,1,,,13,Int 13,no,https://www.poewiki.net/wiki/Crown_of_Thorns
Curtain Call,Helmet,Helmets,core,no,Plague Mask,4,4 d,20,,14,14,"Dex 14, Int 14",no,https://www.poewiki.net/wiki/Curtain_Call
Deidbell,Helmet,Helmets,core,no,Gilded Sallet,3,3 d,33,38,38,,"Str 38, Dex 38",yes,https://www.poewiki.net/wiki/Deidbell
Devoto's Devotion,Helmet,Helmets,core,no,Nightmare Bascinet,5,5 d,67,62,85,,"Str 62, Dex 85",yes,https://www.poewiki.net/wiki/Devoto's_Devotion
Doedre's Scorn,Helmet,Helmets,core,no,Lunaris Circlet,4,4 d,39,,,83,Int 83,yes,https://www.poewiki.net/wiki/Doedre's_Scorn
Eber's Unification,Helmet,Helmets,core,no,Hubris Circlet,4,4 d,69,,,154,Int 154,no,https://www.poewiki.net/wiki/Eber's_Unification
Elevore,Helmet,Helmets,core,no,Wolf Pelt,5,5 d,30,,66,,Dex 66,no,https://www.poewiki.net/wiki/Elevore
Eye of Malice,Helmet,Helmets,core,no,Callous Mask,4,4 d,45,,51,51,"Dex 51, Int 51",no,https://www.poewiki.net/wiki/Eye_of_Malice
Ezomyte Peak,Helmet,Helmets,core,no,Iron Hat,5,5 d,1,9,,,Str 9,no,https://www.poewiki.net/wiki/Ezomyte_Peak
Fairgraves' Tricorne,Helmet,Helmets,core,no,Tricorne,3,3 d,12,,27,,Dex 27,no,https://www.poewiki.net/wiki/Fairgraves'_Tricorne
Flamesight,Helmet,Helmets,core,no,Solaris Circlet,3,3 d,59,,,122,Int 122,no,https://www.poewiki.net/wiki/Flamesight
Fractal Thoughts,Helmet,Helmets,core,no,Vaal Mask,3,3 d,62,,79,72,"Dex 79, Int 72",no,https://www.poewiki.net/wiki/Fractal_Thoughts
Galesight,Helmet,Helmets,core,no,Solaris Circlet,3,3 d,59,,,122,Int 122,no,https://www.poewiki.net/wiki/Galesight
Geofri's Crest,Helmet,Helmets,core,no,Great Crown,4,4 d,53,59,,59,"Str 59, Int 59",yes,https://www.poewiki.net/wiki/Geofri's_Crest
Goldrim,Helmet,Helmets,core,no,Leather Cap,4,4 d,1,,13,,Dex 13,yes,https://www.poewiki.net/wiki/Goldrim
Heatshiver,Helmet,Helmets,core,no,Leather Hood,3,3 d,20,,46,,Dex 46,yes,https://www.poewiki.net/wiki/Heatshiver
Heretic's Veil,Helmet,Helmets,core,no,Deicide Mask,2,2 d,67,,73,88,"Dex 73, Int 88",no,https://www.poewiki.net/wiki/Heretic's_Veil
Honourhome,Helmet,Helmets,core,no,Soldier Helmet,5,5 d,12,16,,16,"Str 16, Int 16",no,https://www.poewiki.net/wiki/Honourhome
Howlcrack,Helmet,Helmets,core,no,Ezomyte Burgonet,3,3 u,60,138,,,Str 138,no,https://www.poewiki.net/wiki/Howlcrack
Hrimnor's Resolve,Helmet,Helmets,core,no,Samnite Helmet,5,5 d,55,114,,,Str 114,no,https://www.poewiki.net/wiki/Hrimnor's_Resolve
Kitava's Thirst,Helmet,Helmets,core,no,Zealot Helmet,4,4 d,44,50,,50,"Str 50, Int 50",yes,https://www.poewiki.net/wiki/Kitava's_Thirst
Leer Cast,Helmet,Helmets,core,no,Festival Mask,5,5 d,28,,33,33,"Dex 33, Int 33",no,https://www.poewiki.net/wiki/Leer_Cast
Malachai's Simula,Helmet,Helmets,core,no,Iron Mask,4,4 d,17,,21,21,"Dex 21, Int 21",yes,https://www.poewiki.net/wiki/Malachai's_Simula
Mark of the Red Covenant,Helmet,Helmets,core,no,Tribal Circlet,5,5 d,26,,,58,Int 58,no,https://www.poewiki.net/wiki/Mark_of_the_Red_Covenant
Maw of Conquest,Helmet,Helmets,core,no,Steel Circlet,3,3 d,48,,,101,Int 101,no,https://www.poewiki.net/wiki/Maw_of_Conquest
Memory Vault,Helmet,Helmets,core,no,Praetor Crown,3,3 d,68,62,,91,"Str 62, Int 91",no,https://www.poewiki.net/wiki/Memory_Vault
Mind of the Council,Helmet,Helmets,core,no,Harlequin Mask,3,3 d,57,,64,64,"Dex 64, Int 64",yes,https://www.poewiki.net/wiki/Mind_of_the_Council
Mindspiral,Helmet,Helmets,core,no,Aventail Helmet,5,5 d,37,42,,42,"Str 42, Int 42",no,https://www.poewiki.net/wiki/Mindspiral
Obscurantis,Helmet,Helmets,core,no,Lion Pelt,4,4 d,70,,150,,Dex 150,no,https://www.poewiki.net/wiki/Obscurantis
Rat's Nest,Helmet,Helmets,core,no,Ursine Pelt,5,5 d,55,,114,,Dex 114,no,https://www.poewiki.net/wiki/Rat's_Nest
Rime Gaze,Helmet,Helmets,core,no,Mind Cage,3,3 d,65,,,138,Int 138,yes,https://www.poewiki.net/wiki/Rime_Gaze
Scold's Bridle,Helmet,Helmets,core,no,Mind Cage,3,3 d,65,,,138,Int 138,yes,https://www.poewiki.net/wiki/Scold's_Bridle
Skullhead,Helmet,Helmets,core,no,Secutor Helm,5,5 d,36,42,42,,"Str 42, Dex 42",no,https://www.poewiki.net/wiki/Skullhead
Speaker's Wreath,Helmet,Helmets,core,no,Prophet Crown,4,4 d,63,85,,62,"Str 85, Int 62",no,https://www.poewiki.net/wiki/Speaker's_Wreath
Starkonja's Head,Helmet,Helmets,core,no,Silken Hood,4,4 d,60,,138,,Dex 138,yes,https://www.poewiki.net/wiki/Starkonja's_Head
The Baron,Helmet,Helmets,core,no,Close Helmet,4,4 d,26,58,,,Str 58,yes,https://www.poewiki.net/wiki/The_Baron
The Brine Crown,Helmet,Helmets,core,no,Prophet Crown,1,1 d,63,85,,62,"Str 85, Int 62",no,https://www.poewiki.net/wiki/The_Brine_Crown
The Bringer of Rain,Helmet,Helmets,core,no,Nightmare Bascinet,3,3 d,67,62,85,,"Str 62, Dex 85",yes,https://www.poewiki.net/wiki/The_Bringer_of_Rain
The Broken Crown,Helmet,Helmets,core,no,Prophet Crown,5,5 d,63,85,,62,"Str 85, Int 62",no,https://www.poewiki.net/wiki/The_Broken_Crown
The Gull,Helmet,Helmets,core,no,Raven Mask,2,2 d,38,,44,44,"Dex 44, Int 44",yes,https://www.poewiki.net/wiki/The_Gull
The Peregrine,Helmet,Helmets,core,no,Visored Sallet,5,5 d,23,28,28,,"Str 28, Dex 28",no,https://www.poewiki.net/wiki/The_Peregrine
The Tempest's Liberation,Helmet,Helmets,core,no,Callous Mask,,,60,,51,51,"Dex 51, Int 51",no,https://www.poewiki.net/wiki/The_Tempest's_Liberation
The Three Dragons,Helmet,Helmets,core,no,Golden Mask,5,5 d,35,,40,40,"Dex 40, Int 40",yes,https://www.poewiki.net/wiki/The_Three_Dragons
The Trickster's Smile,Helmet,Helmets,core,no,Visored Sallet,4,4 d,23,28,28,,"Str 28, Dex 28",no,https://www.poewiki.net/wiki/The_Trickster's_Smile
Thrillsteel,Helmet,Helmets,core,no,Barbute Helmet,5,5 d,18,42,,,Str 42,no,https://www.poewiki.net/wiki/Thrillsteel
Thundersight,Helmet,Helmets,core,no,Solaris Circlet,3,3 d,59,,,122,Int 122,no,https://www.poewiki.net/wiki/Thundersight
Usurper's Penance,Helmet,Helmets,core,no,Eternal Burgonet,3,3 d,69,138,,,Str 138,no,https://www.poewiki.net/wiki/Usurper's_Penance
Veil of the Night,Helmet,Helmets,core,no,Great Helmet,4,4 d,22,27,,27,"Str 27, Int 27",yes,https://www.poewiki.net/wiki/Veil_of_the_Night
Voll's Vision,Helmet,Helmets,core,no,Praetor Crown,3,3 d,68,62,,91,"Str 62, Int 91",yes,https://www.poewiki.net/wiki/Voll's_Vision
Willclash,Helmet,Helmets,core,no,Golden Mask,5,5 d,35,,40,40,"Dex 40, Int 40",no,https://www.poewiki.net/wiki/Willclash
Wilma's Requital,Helmet,Helmets,core,no,Solaris Circlet,3,3 d,59,,,122,Int 122,no,https://www.poewiki.net/wiki/Wilma's_Requital
Wraithlord,Helmet,Helmets,core,no,Bone Circlet,4,4,34,,,73,Int 73,no,https://www.poewiki.net/wiki/Wraithlord
Wreath of Phrecia,Helmet,Helmets,core,no,Iron Circlet,4,4 d,8,,,23,Int 23,no,https://www.poewiki.net/wiki/Wreath_of_Phrecia
Ylfeban's Trickery,Helmet,Helmets,core,no,Hubris Circlet,3,3 d,69,,,154,Int 154,yes,https://www.poewiki.net/wiki/Ylfeban's_Trickery
Algor Mortis,Gloves,Gloves,core,no,Carnal Mitts,4,4 d,50,,39,39,"Dex 39, Int 39",no,https://www.poewiki.net/wiki/Algor_Mortis
Allelopathy,Gloves,Gloves,core,no,Satin Gloves,3,3 d,41,,,60,Int 60,no,https://www.poewiki.net/wiki/Allelopathy
Asenath's Gentle Touch,Gloves,Gloves,core,no,Silk Gloves,3,3 d,25,,,39,Int 39,yes,https://www.poewiki.net/wiki/Asenath's_Gentle_Touch
Aukuna's Will,Gloves,Gloves,core,no,Clasped Mitts,4,4 d,31,,25,25,"Dex 25, Int 25",no,https://www.poewiki.net/wiki/Aukuna's_Will
Aurseize,Gloves,Gloves,core,no,Steelscale Gauntlets,3,3 d,36,29,29,,"Str 29, Dex 29",yes,https://www.poewiki.net/wiki/Aurseize
Demon Stitcher,Gloves,Gloves,core,no,Satin Gloves,4,4 d,41,,,60,Int 60,no,https://www.poewiki.net/wiki/Demon_Stitcher
Doedre's Tenure,Gloves,Gloves,core,no,Velvet Gloves,5,5 d,12,,,21,Int 21,no,https://www.poewiki.net/wiki/Doedre's_Tenure
Doryani's Fist,Gloves,Gloves,core,no,Vaal Gauntlets,2,2 d,63,100,,,Str 100,yes,https://www.poewiki.net/wiki/Doryani's_Fist
Empire's Grasp,Gloves,Gloves,core,no,Goliath Gauntlets,5,5 d,53,77,,,Str 77,no,https://www.poewiki.net/wiki/Empire's_Grasp
Facebreaker,Gloves,Gloves,core,no,Strapped Mitts,4,4 d,16,,14,14,"Dex 14, Int 14",yes,https://www.poewiki.net/wiki/Facebreaker
Flesh and Spirit,Gloves,Gloves,core,no,Ironscale Gauntlets,4,4 d,15,14,14,,"Str 14, Dex 14",yes,https://www.poewiki.net/wiki/Flesh_and_Spirit
Giantsbane,Gloves,Gloves,core,no,Bronze Gauntlets,5,5 d,23,36,,,Str 36,no,https://www.poewiki.net/wiki/Giantsbane
Gravebind,Gloves,Gloves,core,no,Hydrascale Gauntlets,2,2 d,59,45,45,,"Str 45, Dex 45",no,https://www.poewiki.net/wiki/Gravebind
Great Old One's Tentacles,Gloves,Gloves,core,no,Eelskin Gloves,4,4 d,38,,56,,Dex 56,no,https://www.poewiki.net/wiki/Great_Old_One's_Tentacles
Grip of the Council,Gloves,Gloves,core,no,Arcanist Gloves,3,3 d,60,,,95,Int 95,no,https://www.poewiki.net/wiki/Grip_of_the_Council
Haemophilia,Gloves,Gloves,core,no,Serpentscale Gauntlets,3,3 d,43,34,34,,"Str 34, Dex 34",no,https://www.poewiki.net/wiki/Haemophilia
Hand of Heresy,Gloves,Gloves,core,no,Martyr Gloves,2,2 u,78,70,,70,"Str 70, Int 70",no,https://www.poewiki.net/wiki/Hand_of_Heresy
Hrimsorrow,Gloves,Gloves,core,no,Goathide Gloves,5,5 d,9,,17,,Dex 17,no,https://www.poewiki.net/wiki/Hrimsorrow
Kalisa's Grace,Gloves,Gloves,core,no,Samite Gloves,5,5 d,55,,,68,Int 68,yes,https://www.poewiki.net/wiki/Kalisa's_Grace
Kaom's Spirit,Gloves,Gloves,core,no,Titan Gauntlets,3,3 d,69,98,,,Str 98,yes,https://www.poewiki.net/wiki/Kaom's_Spirit
Lochtonial Caress,Gloves,Gloves,core,no,Iron Gauntlets,5,5 d,1,6,,,Str 6,no,https://www.poewiki.net/wiki/Lochtonial_Caress
Machina Mitts,Gloves,Gloves,core,no,Murder Mitts,2,2 d,67,,51,51,"Dex 51, Int 51",no,https://www.poewiki.net/wiki/Machina_Mitts
Malachai's Mark,Gloves,Gloves,core,no,Murder Mitts,3,3,67,,51,51,"Dex 51, Int 51",no,https://www.poewiki.net/wiki/Malachai's_Mark
Maligaro's Virtuosity,Gloves,Gloves,core,no,Deerskin Gloves,3,3 d,21,,33,,Dex 33,yes,https://www.poewiki.net/wiki/Maligaro's_Virtuosity
Meginord's Vise,Gloves,Gloves,core,no,Steel Gauntlets,3,3 d,35,52,,,Str 52,yes,https://www.poewiki.net/wiki/Meginord's_Vise
Mercenary's Lot,Gloves,Gloves,core,no,Slink Gloves,3,3 u,70,,95,,Dex 95,no,https://www.poewiki.net/wiki/Mercenary's_Lot
Null and Void,Gloves,Gloves,core,no,Legion Gloves,4,4 d,57,44,,44,"Str 44, Int 44",yes,https://www.poewiki.net/wiki/Null_and_Void
Ondar's Clasp,Gloves,Gloves,core,no,Wrapped Mitts,5,5 d,5,,6,6,"Dex 6, Int 6",no,https://www.poewiki.net/wiki/Ondar's_Clasp
Oskarm,Gloves,Gloves,core,no,Nubuck Gloves,4,4 d,52,,50,,Dex 50,no,https://www.poewiki.net/wiki/Oskarm
Painseeker,Gloves,Gloves,core,no,Shagreen Gloves,5,5 d,54,,78,,Dex 78,no,https://www.poewiki.net/wiki/Painseeker
Repentance,Gloves,Gloves,core,no,Crusader Gloves,3,3 d,66,51,,51,"Str 51, Int 51",yes,https://www.poewiki.net/wiki/Repentance
Sadima's Touch,Gloves,Gloves,core,no,Wool Gloves,4,4 d,1,,,9,Int 9,yes,https://www.poewiki.net/wiki/Sadima's_Touch
